it',901
see,812
movie.,790
make,786
wast,752
good,748
even,693
time,691
bad,674
get,664
would,624
realli,548
much,518
veri,507
-,500
hi,481
go,456
film.,445
/>,425
could,406
worth,387
ani,373
time.,372
ever,361
never,341
ha,338
one.,337
look,310
say,299
<br,297
made,296
want,294
think,292
noth,287
worst,268
this.,267
i'm,253
still,247
end,246
10,246
rate,235
way,235
come,231
rent,223
enjoy,222
star,217
"it,",212
tri,209
littl,207
need,200
real,199
seen,191
lot,188
****,188
best,186
find,186
stori,179
least,178
know,171
stay,170
first,169
act,168
probabl,167
well,160
hour,158
whi,157
charact,155
me.,153
save,152
better.,151
big,150
whole,148
without,144
again.,138
3,133
read,133
next,133
bad.,131
deserv,129
miss,128
4/10,126
actor,125
terribl,123
seem,121
video,120
left,119
TV,119
done,115
keep,114
/>mi,112
scene,112
entertain,110
mani,108
part,106
is.,104
call,100
.,98
plot,98
buy,96
pleas,95
*,95
here.,95
&,93
live,92
"""the",91
i'll,89
thank,88
nice,87
wish,87
horribl,87
turn,86
*1/2,85
kid,85
fail,84
reason,84
less,81
story.,80
life.,78
tell,78
spend,77
almost,76
hate,76
final,76
kill,76
action,75
mean,74
day,74
either.,72
perform,71
films.,71
crap,70
true,70
grade:,69
crap.,69
2/10,67
night,67
shame,66
pass,65
god,65
not.,63
stop,63
attempt,62
entir,62
alway,60
high,59
"all,",58
beyond,57
place,55
flick,55
"bad,",54
stick,54
mess.,53
viewer,52
/>2/10,51
talk,51
(and,49
fall,48
short,48
4/10.,47
tast,47
credit,45
poor,44
Or,43
felt,43
mention,43
famili,42
film.<br,42
pure,41
said,40
finish,38
full,38
learn,38
cut,37
they'r,37
only.,37
Go,36
F,36
dull,35
,34
sexual,34
fans.,33
him.,32
slasher,31
suffer,30
garbag,30
ask,30
"story,",30
To,29
in.,29
/>*,29
she',29
worthi,29
"please,",29
sex,28
excel,28
b-movi,28
experience.,28
place.,27
michael,27
women,27
humor,27
"then,",26
1/2,26
provid,26
sleep,26
drug,26
her.,25
enough.,25
fool,24
along,24
say.,24
perfect,24
dog,23
No,23
Of,22
poorli,22
badli,22
this?,22
"awful,",21
meet,21
score:,21
"nudity,",21
Is,21
IT,20
train,20
camp,20
turkey,20
don't.,20
drink,19
fell,19
"stars,",19
cast.,19
failure.,19
aspect,19
ghost,18
crappi,18
men,18
execut,18
pace,16
again.<br,16
"thing,",16
nothing.,16
footag,15
italian,15
wide,14
"dull,",14
parti,13
pretend,13
rich,13
hardcor,12
week,12
completist,12
mild,12
?,12
offend,12
ring,11
horrible!,10
cop,10
"horrible,",10
awar,9
etc,9
..,9
bad!,9
natur,9
(*),9
HA,8
grip,8
heavi,8
friday,8
harder,8
everyone.,8
"poor,",7
manner.,7
vacat,7
choices.,7
ball,6
ha!,6
expectations.,6
terror,6
meaningless,6
"""so",6
woodi,6
ear,6
on...,5
daughter.,5
row,5
MY,5
"etc,",4
trivialbor,4
poop,4
3D,4
dog!,4
blood.,4
wick,4
"""24"".",3
.........,3
enthusiasts.,3
boo-bees.,3
no.,3
agar?,2
