good,962
it',929
watch,911
great,904
veri,815
make,658
movie.,643
recommend,640
love,617
hi,611
enjoy,608
film.,593
give,541
/>,525
well,507
A,502
get,494
would,487
best,486
time,464
highli,441
realli,441
-,427
ha,389
10,380
ani,367
still,365
go,360
must,349
show,343
It,322
<br,316
want,303
10.,297
find,282
much,270
onli,265
could,262
littl,262
better,248
mani,239
way,237
entertain,234
never,232
fan,228
real,227
end,226
"it,",219
recommended.,211
check,210
wonder,209
deserv,201
made,193
say,188
classic,186
year,185
take,185
star,179
sure,178
lot,177
new,176
live,168
charact,166
play,163
life,162
back,161
can't,160
nice,155
out.,154
that',152
need,149
scene,144
right,136
everyon,136
pretti,132
true,131
actor,130
long,130
without,130
alway,128
8,125
music,123
releas,122
/>a,120
befor,117
origin,116
all.,113
part,113
you'r,112
rent,107
human,104
wish,104
good.,104
story.,102
end.,101
.,101
too.,94
overal,94
movie!,92
i'd,92
7,91
action,85
!,83
movies.,82
TV,81
classic.,80
happen,77
hollywood,76
anim,73
happi,73
Go,72
years.,70
far,69
5,68
help,68
/>thi,67
tell,66
set,64
three,64
product,64
surpris,64
rating:,64
--,63
art,63
best.,63
moment,61
someon,60
remain,60
second,60
beauti,59
score,59
In,58
thumb,58
strong,58
possibl,54
...,54
suggest,53
minut,52
oscar,51
among,51
western,50
"good,",49
seriou,49
romant,48
modern,46
histori,45
gem.,45
thoroughli,44
"fun,",43
along,42
consid,42
follow,41
he',41
home,41
behind,41
success,40
made.,39
documentari,39
french,39
audience.,38
(out,38
*****,38
worthi,37
stuff.,37
cannot,36
charm,36
year.,35
includ,35
strongli,32
late,32
"10,",32
"great,",31
effort,30
cri,30
silent,29
genuin,29
terrif,29
better.,29
funni,29
100,28
past,28
/>8,28
"films,",28
offer,27
scenes.,27
difficult,26
kids.,26
color,25
present,25
10),25
pleasur,25
foreign,25
similar,25
save,25
anyone.,24
cultur,24
hell,24
listen,24
"life,",24
right.,24
abl,24
list,23
fun!,23
time.<br,23
brother,23
one',23
it!!,22
typic,22
drug,22
score:,21
lack,21
age.,21
nomin,21
beat,21
marvel,20
golden,20
/>go,19
mere,19
finish,19
told,18
actor.,18
social,18
?,18
crazi,17
discov,17
tragic,17
hero,17
that!,17
fill,16
/>an,16
fail,15
---,15
level.,15
theatric,15
pari,15
stun,14
ahead,14
winner,14
more!,14
!!!,14
loss,13
"ever,",13
hollywood',12
person.,12
awards.,12
GO,12
*,12
=,12
design,12
basebal,11
chines,11
70,10
recommendation.,10
kind.,10
ME,10
warner,9
gain,9
religion,8
mother.,8
start.,8
virtual,8
schnitz!!,8
movie!<br,8
**********,8
philip,7
sword,7
/>poodl,7
giant,7
perfectli,7
health,6
victor,6
B-,6
etern,6
**,6
written.,6
hands.,6
was.<br,6
blahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblahblah,5
sun,5
carradin,5
kramer,4
!!!!!!!!!,4
"lot,",4
lull,4
away!,4
felix,3
superpow,3
max,3
lillli,3
confirm,3
mile,3
other',3
rip.,3
railroad,3
cgi.,3
stiller,3
go!,3
"segment,",3
steiner,2
on!!,2
